configuration,attenuation (dB),packet size (B),mean (Mibps),median (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),q3 (Mibps)
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,16,107.571,104.782,7.455,99.464,130.547,103.987,105.772
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,512,112.775,105.682,12.546,98.455,139.144,104.728,115.437
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,1436,114.453,109.585,11.344,98.203,139.167,105.416,121.418
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,10,16,101.939,104.103,10.059,80.471,120.459,98.446,104.678
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,10,512,113.256,113.739,6.965,103.043,123.08,106.541,119.19
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,10,1436,117.788,118.204,3.657,113.602,123.404,113.82,120.348
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,20,16,80.111,87.096,11.527,53.746,90.905,72.808,87.503
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,20,512,88.431,87.736,2.536,81.273,91.245,87.379,90.724
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,20,1436,86.783,87.828,4.915,71.739,91.654,84.741,90.392
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,30,16,42.802,44.686,5.721,23.079,45.622,44.368,44.915
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,30,512,39.447,42.898,6.967,23.095,45.632,35.907,45.223
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,30,1436,37.625,41.736,8.471,23.072,45.641,29.091,45.31
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,111.152,107.267,9.027,101.315,133.84,104.316,117.726
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,115.365,111.24,11.624,100.319,134.396,106.97,126.282
pb-178-tdd-low-latency-sr-per-1.cfg,0,1436,114.144,105.801,14.816,96.05,135.806,102.735,130.336
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,109.47,109.03,5.316,101.776,123.277,105.135,112.712
pb-178-tdd-low-latency-sr-per-1.cfg,10,512,109.705,109.218,6.72,100.05,123.382,104.073,114.504
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,112.793,114.338,7.043,102.134,123.348,104.89,118.932
pb-178-tdd-low-latency-sr-per-1.cfg,20,16,84.84,88.619,7.531,63.73,91.049,82.374,90.713
pb-178-tdd-low-latency-sr-per-1.cfg,20,512,90.084,90.448,0.812,88.397,91.591,89.244,90.666
pb-178-tdd-low-latency-sr-per-1.cfg,20,1436,88.072,90.531,5.102,70.502,91.098,88.957,90.69
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,41.155,44.075,5.294,27.668,45.117,37.67,44.804
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,40.403,43.692,7.001,23.075,44.873,41.316,44.334
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,40.988,43.893,5.619,23.317,44.938,39.329,44.087
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,16,160.807,165.272,7.362,142.37,165.715,157.008,165.56
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,512,162.366,165.56,5.415,148.048,165.684,160.755,165.631
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,1436,164.224,165.464,3.784,151.21,166.219,165.302,165.536
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,10,16,163.827,165.26,3.446,150.434,165.607,164.309,165.418
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,10,512,163.796,165.232,3.045,153.847,165.697,163.664,165.463
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,10,1436,164.128,165.344,2.734,155.144,165.607,164.532,165.46
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,20,16,114.821,153.338,50.725,47.773,154.634,50.696,154.264
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,20,512,132.078,152.44,39.035,47.733,154.47,135.938,152.951
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,20,1436,144.554,153.005,20.285,64.807,154.798,149.655,153.731
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,30,16,72.187,76.696,8.289,48.038,77.301,69.578,77.075
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,30,512,68.742,75.046,11.08,47.835,77.367,61.213,77.203
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,30,1436,75.508,76.738,5.354,47.86,77.225,76.266,77.092
