configuration,attenuation (dB),packet size (B),mean (ms),median (ms),std (ms),min (ms),max (ms),q1 (ms),q3 (ms)
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,16,189.723,194.901,12.133,153.403,204.915,190.477,196.792
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,512,182.307,190.188,19.079,141.37,209.629,176.478,194.215
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,1436,188.02,193.432,18.464,149.503,215.22,172.948,204.62
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,10,16,202.272,196.781,23.295,166.348,265.193,193.927,208.937
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,10,512,183.385,183.108,15.597,163.388,236.971,170.608,192.947
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,10,1436,180.725,180.318,6.093,171.365,190.504,175.676,186.192
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,20,16,265.403,236.736,44.649,223.103,390.682,232.372,290.076
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,20,512,233.853,232.098,11.137,221.124,278.232,227.64,235.121
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,20,1436,252.845,246.522,20.617,233.356,320.306,237.683,259.606
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,30,16,494.806,466.146,91.417,438.998,826.935,461.68,473.4
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,30,512,569.841,491.02,173.908,442.187,1244.099,465.265,611.603
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,30,1436,642.073,517.842,204.77,470.222,1295.348,484.646,770.322
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,184.192,188.972,15.278,149.453,211.282,171.903,196.966
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,176.923,182.346,17.941,149.448,203.572,157.764,191.542
pb-178-tdd-low-latency-sr-per-1.cfg,0,1436,192.225,201.852,30.362,154.535,292.288,162.033,208.204
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,186.054,186.9,9.764,161.078,201.792,180.019,194.262
pb-178-tdd-low-latency-sr-per-1.cfg,10,512,191.448,185.514,36.661,165.66,379.044,177.651,195.43
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,189.988,186.758,12.439,169.833,212.338,180.531,203.766
pb-178-tdd-low-latency-sr-per-1.cfg,20,16,244.937,233.793,27.23,214.604,328.411,226.086,257.871
pb-178-tdd-low-latency-sr-per-1.cfg,20,512,225.876,225.664,2.889,219.763,232.525,224.014,227.351
pb-178-tdd-low-latency-sr-per-1.cfg,20,1436,243.949,238.013,17.708,225.315,308.517,235.16,242.137
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,552.359,476.258,135.94,453.2,1118.185,467.758,598.506
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,536.239,479.06,138.936,446.778,925.643,466.784,509.377
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,568.856,504.01,118.893,476.201,895.233,496.582,576.067
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,16,36.508,30.325,12.468,25.831,67.979,28.151,42.888
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,512,34.398,29.135,9.723,26.203,57.053,27.924,40.009
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,1436,30.675,28.584,6.458,25.906,52.797,28.264,29.495
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,10,16,30.239,28.086,6.045,24.314,52.729,26.515,31.909
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,10,512,30.917,30.197,5.702,23.862,47.52,26.782,32.74
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,10,1436,31.156,28.963,5.822,26.415,50.413,27.555,32.085
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,20,16,262.489,147.63,149.741,142.452,506.364,145.861,447.331
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,20,512,216.85,148.808,152.358,144.768,769.511,147.026,167.041
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,20,1436,166.592,154.216,35.106,151.728,329.778,152.912,155.442
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,30,16,321.883,295.73,55.373,276.696,477.189,292.3,318.9
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,30,512,349.542,306.686,72.604,288.66,511.522,294.051,386.641
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,30,1436,315.745,308.07,36.811,289.063,509.365,305.644,313.148
